,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
85,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Calle De La Antracita 12,   Madrid",Arganzuela,40.39295,-3.68724
86,Empanadas Malvón,31,5.0,1.4,25–35,Empanada,€,"Calle Del Dr Cortezo, 7,   Madrid",Arganzuela,40.41347,-3.70389
87,El Turkito,200,4.1,1.9,40–50,Asiatica,€,"Calle De La Cruz, 20,   Madrid",Arganzuela,40.41553,-3.70175
88,Galipan,23,4.2,1.9,55–65,Halal,€,"Calle Gran Vía, 16,   Madrid",Arganzuela,40.41966,-3.69894
89,Steak Burger,168,4.2,2.4,55–65,Americana,€,"Calle De Antonio López 109,   Madrid",Arganzuela,40.38678,-3.69811
90,Pollo Criollo,28,3.1,1.4,45–55,Pollo,€,"Calle De Núñez De Arce 11,   Madrid",Arganzuela,40.41538,-3.70124
91,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Calle De Tudescos, 4,   Madrid",Arganzuela,40.3747,-3.65969
92,Super naan,30,3.1,2.4,65–75,India,€,"Calle De Lavapiés 34,   Madrid",Arganzuela,40.41107,-3.70275
93,Sonali Indian Restaurante,58,4.1,1.4,30–40,India,€€€,"Calle De Los Donados 2,   Madrid",Arganzuela,40.41799,-3.70834
94,Cor & Cor,30,3.1,2.4,55–65,Postres,€,"Calle Libertad, 9,  Madrid",Arganzuela,40.42072,-3.69767
95,Puccias Chueca,30,3.1,2.4,40–50,Americana,€,"Ronda De Valencia, 14,   Madrid",Arganzuela,40.40547,-3.70151
96,Aloha Poke,200,4.5,1.4,20–30,Poke,€,"Calle De Atocha 98,   Madrid",Arganzuela,40.41053,-3.6958
97,Capasso Pizza,30,3.1,1.4,35–45,Pizza,€,"Calle De Lavapiés, 34,   Madrid",Arganzuela,40.41107,-3.70275
98,Shapla Indian,31,4.3,1.4,35–45,Pizza,€,"Calle Arechavaleta 6,   Madrid",Arganzuela,40.40605,-3.70752
99,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Plaza Del Comandante Las Morenas 3,   Madrid",Arganzuela,40.41624,-3.70883
100,Pollo Criollo,30,3.1,1.9,60–70,Pollo,€,"Plaza De La Cebada, 10,   Madrid",Arganzuela,40.41156,-3.71008
101,Taberna La Buha,24,4.2,1.9,55–65,Tapas,€,"Calle Ariel,15,   Madrid",Arganzuela,40.41056,-3.71352
102,El Buen Gusto,17,4.5,1.9,45–55,Bar Food,€,"Calle De Palos De La Frontera 38,  Madrid",Arganzuela,40.40302,-3.69613
103,La Pizza é Bella,12,4.5,1.4,25–35,Pizza,€,"Calle Mayor, 42,   Madrid",Arganzuela,40.41606,-3.70853
104,Las Muns,30,3.1,2.4,50–60,Panadería,€,"Calle De Atocha, 117,   Madrid",Arganzuela,40.41013,-3.69412
105,Halal Steak House Grill,30,3.1,1.4,30–40,Carne,€,"Calle De Silva, 25,   Madrid",Arganzuela,40.42186,-3.70571
106,Home Burger Bar,200,4.3,2.4,60–70,Hamburguesas,€,"Plaza De Puerta Cerrada 6,   Madrid",Arganzuela,40.41375,-3.70816
107,LaRegustosa,26,4.2,1.9,60–70,Empanada,€,"Calle De Embajadores, 12,  Madrid",Arganzuela,40.40069,-3.69925
