,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,lat,lon
212,Papa John's,127,4.1,1.4,35–45,Pizza,€,"Calle De Ángel González Tejedor 5,   Madrid",Salamanca,4.043.173,-365.658
213,Taco Bell,200,4.2,1.9,25–35,Hamburguesas,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Salamanca,4.040.861,-369.288
214,Scarlett Real Food,29,2.9,2.4,45–55,Postres,€,"Calle Azulejo 2,   Madrid",Salamanca,4.033.274,-371.905
216,Pizzería Argentina El Trébol,29,2.9,1.4,30–40,Pizza,€,"Calle De José Ortega Y Gasset 94,  Madrid",Salamanca,4.042.986,-367.176
217,Empanadas Malvón,48,4.9,0.9,15–25,Empanada,€,"Calle De Luchana 17,   Madrid",Salamanca,40.43,-370.099
218,Pizzart Luchana,29,2.9,2.4,55–65,Pizza,€,"Calle Alcala 191,   Madrid",Salamanca,4.042.654,-367.232
220,Pastamore,98,4.6,0.9,15–25,Italiana,€,"Calle De San Andrés, 26,  Madrid",Salamanca,4.042.735,-370.352
221,Roost Chicken,29,2.9,2.4,50–60,Pollo,€,"Plaza Emperador Carlos V, 11 ,  Madrid",Salamanca,404.085,-369.295
222,Taco Bell,200,4.2,2.4,35–45,Hamburguesas,€€,"Calle De La Alianza 33,  Madrid",Salamanca,4.035.775,-368.689
223,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26,  Madrid",Salamanca,4.045.866,-364.638
225,El Burrito Borracho,29,2.9,1.9,35–45,Burritos,€€,"Calle De Azcona 36,   Madrid",Salamanca,4.038.927,-37.415
226,Arepish,186,4.6,0.9,25–35,Venezolana,€€€,"Calle De Alcalá, 344,    Madrid",Salamanca,4.044.291,-361.886
227,Little Caesars Pizza,200,4.5,2.4,30–40,Pizza,€€€,"Calle Azulejo 2,   Madrid",Salamanca,4.033.274,-371.905
229,Empanadas BAIRES,29,2.9,1.4,35–45,Empanada,€,"Calle De Ayala 28,   Madrid",Salamanca,4.042.774,-368.571
230,SANABRIA,29,2.9,1.4,50–60,Tapas y raciones,€,"Calle Del Gral. Pardiñas, 32,  Madrid",Salamanca,4.042.651,-367.813
231,Rude Burger,36,4.8,0.9,25–35,Hamburguesas,€€,"Calle Lopez de Hoyos 15,  Madrid",Salamanca,4.044.861,-366.712
233,100 % Sano,29,2.9,0.9,20–30,Saludable,€€€,"Calle Conde De Penalver 35,   Madrid",Salamanca,4.042.846,-367.524
234,Cor & Cor,35,4.3,0.4,35–45,Postres,€,"López De Hoyos , 153,   Madrid",Salamanca,4.044.872,-366.864
235,Popeyes,200,4.4,2.4,35–45,Pollo,€,"Calle Del Príncipe De Vergara, 210,    Madrid",Salamanca,4.042.562,-367.992
236,Home Burger Bar,198,4.1,2.4,30–40,Hamburguesas,€,"Calle Maldonado 07,  Madrid",Salamanca,4.043.367,-368.057
238,Artisan Burger,29,2.9,0.9,40–50,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,  Madrid",Salamanca,4.042.681,-366.684
239,Thai Zafra,38,4.6,0.9,15–25,Everyday Essentials,€,"Calle De Maldonado, 51,  Madrid",Salamanca,4.043.378,-36.789
240,Tiendas 7x24,140,4.8,0.9,20–30,Saludable,€,"Calle De Velázquez, 118,  Madrid",Salamanca,4.043.525,-368.349
242,Makan Saj Manoushe,200,4.9,1.4,30–40,India,€,"Paseo Del Marqués De Zafra 38,   Madrid",Salamanca,4.042.547,-366.303
243,DIVE`S FOOD,29,2.9,1.4,35–45,Hamburguesas,€,"Calle De María De Molina, 44,  Madrid",Salamanca,4.043.794,-368.459
244,Flame,29,2.9,1.4,40–50,Hamburguesas,€,"Calle De Luchana 13,   Madrid",Salamanca,40.43,-370.099
246,Freedom Pizza,53,4.5,2.4,45–55,Pizza,€,"Calle Del Espíritu Santo 16,   Madrid",Salamanca,4.042.557,-370.629
247,MY Pasta Room,59,4.6,2.4,50–60,Italiana,€,"Calle Gran Vía, 16,    Madrid",Salamanca,4.041.966,-369.894
248,Steak Burger,168,4.2,2.4,55–65,Americana,€,"Calle De Goya, 70,  Madrid",Salamanca,4.042.469,-367.663
249,McDonald's,200,4.6,0.9,15–25,Hamburguesas,€,"Calle De Las Naciones 5,   Madrid",Salamanca,4.042.685,-36.736
251,PaellaGood,29,2.9,0.4,30–40,Mediterránea,€,"Calle De Núñez De Arce 11,   Madrid",Salamanca,4.041.538,-370.124
252,Empanadas BAIRES,29,2.9,2.99,35–55,Empanada,€,"Calle De Carranza 3,   Madrid",Salamanca,4.042.895,-370.276
253,Tiendas 7x24,70,4.6,2.4,45–55,Comida rápida,€,"Calle Del Dr. Esquerdo, 10,  Madrid",Salamanca,4.042.661,-366.826
255,Empanadas Pampas,29,2.9,0.9,25–35,Empanada,€,"Calle Esteban Collantes, 31,   Madrid",Salamanca,4.043.166,-364.089
256,Croqueteria Focos,29,2.9,2.9,35–45,Croquetas,€,"Calle De La Cruz, 20,    Madrid",Salamanca,4.041.553,-370.175
257,Galipan,23,4.2,2.9,60–70,Halal,€,"Calle De Tudescos, 4,  Madrid",Salamanca,403.747,-365.969
259,Super naan,29,2.9,2.4,60–70,India,€,"Calle Mateo García, 13,  Madrid",Salamanca,404.316,-365.271
260,Pollos Gourmet,29,2.9,1.9,30–40,Pollo,€,"Calle De Gonzalo De Berceo 63,   Madrid",Salamanca,4.042.865,-36.399
261,Asador Perla del Pacifico Ascao,39,4.6,2.9,40–50,Carne,€,"Calle Libertad, 9,  Madrid",Salamanca,4.042.072,-369.767
262,Puccias Chueca,29,2.9,2.4,40–50,Americana,€,"Calle Del Cardenal Cisneros 1,  Madrid",Salamanca,4.042.965,-370.165
264,Graal,29,2.9,2.4,60–70,Ramen,€,"Calle De Méjico 20,   Madrid",Salamanca,4.043.736,-367.305
265,Restaurante Chino Diamante,100,4.0,1.4,25–35,China,€,"Calle De José Abascal 31,  Madrid",Salamanca,4.043.856,-369.891
266,Junk Burger,31,4.3,1.9,45–55,Hamburguesas,€,"Calle De Hermosilla, 91,  Madrid",Salamanca,4.042.607,-367.616
268,Esmirna Doner Kebap,48,4.7,0.9,25–35,Kebab,€,"Av. De Felipe II, 8,  Madrid",Salamanca,4.042.385,-36.765
269,Aloha Poke,200,4.7,0.9,20–30,Poke,€,"Calle Zabaleta 1,   Madrid",Salamanca,4.044.065,-367.537
270,CHUCK CHUCK CHICKEN,29,2.9,1.4,35–45,Pollo,€,"Calle Gran Vía, 22,  Madrid",Salamanca,4.042.011,-37.007
272,TGB,89,3.9,2.4,65–75,Hamburguesas,€,"Calle Génova 27,  Madrid",Salamanca,4.046.663,-365.361
273,VIPS,16,4.8,1.9,50–60,Americana,€,"Calle De Atocha 98,  Madrid",Salamanca,4.041.053,-36.958
274,Capasso Pizza,29,2.9,2.4,45–55,Pizza,€,"Calle De La Virgen De La Fuencisla, 19,   Madrid",Salamanca,4.039.654,-366.673
275,HyH Kebab Fried Chicken,23,3.6,1.0,40–60,Pollo,€,"Calle De José Calvo 6,  Madrid",Salamanca,4.045.883,-370.845
277,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores, 17 ,  Madrid",Chamartín,4.040.069,-369.925
278,TUTTO PASTA!,26,2.8,2.5,40–60,Postres,€,"Avda. Felipe Ii, 17,  Madrid",Chamartín,4.042.413,-367.285
279,Papa John's,200,4.5,1.4,30–40,Pizza,€,"Calle Del Conde De Peñalver, 17,  Madrid",Chamartín,4.042.665,-367.583
281,Papa John's,200,4.3,0.9,25–35,Pizza,€,"Calle Del Conde De Serrallo, 1,  Madrid",Chamartín,4.046.554,-369.196
282,Taberna Andaluza,25,4.4,1.4,40–50,Tapas,€,"Paseo De La Castellana 191,   Madrid",Chamartín,4.046.807,-368.995
283,Taco Bell,200,4.1,1.4,25–35,Hamburguesas,€,"Calle Araucaria 19,   Madrid",Chamartín,4.046.046,-370.001
285,Roost Chicken,123,4.6,1.9,35–45,Pollo,€,"Av. De Brasil, 6,  Madrid",Chamartín,4.045.833,-369.354
286,La Mordida,25,4.4,1.4,45–55,Mediterránea,€,"Calle Del Príncipe De Vergara, 210,    Madrid",Chamartín,4.042.562,-367.992
287,Home Burger Bar,198,4.1,0.9,25–35,Hamburguesas,€€€,"Calle De Huesca, 19, Bajo,    Madrid",Chamartín,4.045.804,-369.889
288,La cabaña de cris,29,2.9,1.9,50–60,Pollo,€€,"Calle De Bravo Murillo 199,   Madrid",Chamartín,4.045.622,-370.204
290,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De Manuel De Falla 5,   Madrid",Chamartín,4.045.502,-368.811
291,Limbo Player Two,29,2.9,0.9,45–55,Carne,€€,"Av. De Brasil, 17,  Madrid",Chamartín,4.045.837,-369.289
292,Ala Sushi,29,2.9,1.4,30–40,Sushi,€€,"Calle De Bravo Murillo, 113,  Madrid",Chamartín,4.044.805,-370.399
